Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301012120,Chek Lap Kok,17.9,13.4
202301012120,Cheung Chau,19.6,12.9
202301012120,Clear Water Bay,19.1,13.0
202301012120,Happy Valley,20.8,15.3
202301012120,HK Observatory,19.3,14.5
202301012120,HK Park,19.0,14.6
202301012120,Kai Tak Runway Park,20.2,14.6
202301012120,Kau Sai Chau,19.4,12.2
202301012120,King's Park,19.5,13.7
202301012120,Kowloon City,19.6,13.2*
202301012120,Kwun Tong,19.8,13.3
202301012120,Lau Fau Shan,17.1,11.6
202301012120,Ngong Ping,14.2 /
202301012120,Pak Tam Chung,18.5,10.8
202301012120,Peng Chau,17.9,13.2
202301012120,Sai Kung,18.1,13.0
202301012120,Sha Tin,19.0,13.3
202301012120,Sham Shui Po,21.0,13.7
202301012120,Shau Kei Wan,19.5,13.9
202301012120,Shek Kong,18.0,11.2
202301012120,Sheung Shui,17.9,12.0
202301012120,Stanley,19.5,14.5
202301012120,Ta Kwu Ling,17.6 /
202301012120,Tai Lung,18.1,10.3
202301012120,Tai Mei Tuk,19.8,12.5
202301012120,Tai Mo Shan,14.6 /
202301012120,Tai Po,18.3,12.0
202301012120,Tate's Cairn,15.2 /
202301012120,The Peak,17.1,11.4
202301012120,Tseung Kwan O,19.9,13.4
202301012120,Tsing Yi,20.9,14.5
202301012120,Tsuen Wan Ho Koon,17.7,11.7
202301012120,Tsuen Wan Shing Mun Valley,21.6,11.6
202301012120,Tuen Mun,18.1,13.0
202301012120,Waglan Island,19.0,13.9
202301012120,Wetland Park,19.3,11.8
202301012120,Wong Chuk Hang,20.7,14.9
202301012120,Wong Tai Sin,20.2,13.9
202301012120,Yuen Long Park,18.4,11.9
