Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202308121410,Chek Lap Kok,32.1
202308121410,Cheung Chau,31.4
202308121410,Clear Water Bay,30.8
202308121410,Happy Valley,31.7
202308121410,HK Observatory,31.4
202308121410,HK Park,30.7
202308121410,Kai Tak Runway Park,32.1
202308121410,Kau Sai Chau,31.9
202308121410,King's Park,32.0
202308121410,Kowloon City,31.5
202308121410,Kwun Tong,31.4
202308121410,Lau Fau Shan,31.5
202308121410,Ngong Ping,24.7
202308121410,Pak Tam Chung,32.2
202308121410,Peng Chau,32.3
202308121410,Sai Kung,33.0
202308121410,Sha Tin,32.1
202308121410,Sham Shui Po,31.5
202308121410,Shau Kei Wan,30.4
202308121410,Shek Kong,32.3
202308121410,Sheung Shui,32.3
202308121410,Stanley,29.8
202308121410,Ta Kwu Ling,30.9
202308121410,Tai Lung,31.7
202308121410,Tai Mei Tuk,31.9
202308121410,Tai Mo Shan,22.9
202308121410,Tai Po,32.6
202308121410,Tate's Cairn,28.3
202308121410,The Peak,27.4
202308121410,Tseung Kwan O,31.9
202308121410,Tsing Yi,30.1
202308121410,Tsuen Wan Ho Koon,28.9
202308121410,Tsuen Wan Shing Mun Valley,29.6
202308121410,Tuen Mun,30.3
202308121410,Waglan Island,N/A
202308121410,Wetland Park,32.1
202308121410,Wong Chuk Hang,31.3
202308121410,Wong Tai Sin,32.7
202308121410,Yuen Long Park,32.6
